ANSWER_SEALED[FAC_TWIN_0]: E833ec8d8ab9f
ANSWER_SEALED[FAC_TWIN_1]: Eb80f825d93a4
ANSWER_SEALED[FAC_TWIN_2]: Efe92f9f81026
ANSWER_SEALED[FAC_TWIN_3]: Ef2122f67d480
ANSWER_SEALED[FAC_TWIN_4]: Eaf3908de2123
ANSWER_SEALED[FAC_TWIN_5]: E9a177466ee4f
ANSWER_SEALED[FAC_TWIN_6]: E4466ee1940c1
ANSWER_SEALED[FAC_TWIN_7]: E094a8b9c1a0a
ANSWER_SEALED[FAC_TWIN_8]: E0d6a73344a1c
ANSWER_SEALED[FAC_TWIN_9]: Ea967c810da4d
ANSWER_SEALED[FAC_TWIN_10]: E31a5f6c6de19
ANSWER_SEALED[FAC_TWIN_11]: E094a8b9c1a0a
ANSWER_SEALED[FAC_TWIN_12]: E1305661e9a85
ANSWER_SEALED[FAC_TWIN_13]: E151af29436b1
ANSWER_SEALED[FAC_TWIN_14]: Eef5d6ddfe291
ANSWER_SEALED[FAC_TWIN_15]: Ea967c810da4d
ANSWER_SEALED[FAC_TWIN_16]: E4466ee1940c1
ANSWER_SEALED[FAC_TWIN_17]: Ecf3042467e73
ANSWER_SEALED[FAC_TWIN_18]: Ecc87b1df73ca
ANSWER_SEALED[FAC_TWIN_19]: Eb80f825d93a4
ANSWER_SEALED[FAC_TWIN_20]: E5da1def6ac4f
ANSWER_SEALED[FAC_TWIN_21]: E0d6a73344a1c
ANSWER_SEALED[FAC_TWIN_22]: E9a177466ee4f
ANSWER_SEALED[FAC_TWIN_23]: E694a0d379788
