ANSWER_SEALED[FAC_PROG_0]: E2b5403f17592
ANSWER_SEALED[FAC_PROG_1]: Eef5d6ddfe291
ANSWER_SEALED[FAC_PROG_2]: Ef03791f39915
ANSWER_SEALED[FAC_PROG_3]: Eaa44a66360d2
ANSWER_SEALED[FAC_PROG_4]: E1305661e9a85
ANSWER_SEALED[FAC_PROG_5]: Eaf3908de2123
ANSWER_SEALED[FAC_PROG_6]: Ecc87b1df73ca
ANSWER_SEALED[FAC_PROG_7]: E48f402067f3f
ANSWER_SEALED[FAC_PROG_8]: E6273e345f877
ANSWER_SEALED[FAC_PROG_9]: Eb59ebffbe838
ANSWER_SEALED[FAC_PROG_10]: Ea967c810da4d
ANSWER_SEALED[FAC_PROG_11]: E1305661e9a85
ANSWER_SEALED[FAC_PROG_12]: E17212629d02b
ANSWER_SEALED[FAC_PROG_13]: E1305661e9a85
ANSWER_SEALED[FAC_PROG_14]: E9a177466ee4f
ANSWER_SEALED[FAC_PROG_15]: E1afbb60e6258
ANSWER_SEALED[FAC_PROG_16]: Ef800a0283365
ANSWER_SEALED[FAC_PROG_17]: E1c015c42d94d
ANSWER_SEALED[FAC_PROG_18]: E9a177466ee4f
ANSWER_SEALED[FAC_PROG_19]: E4a4892c0ae2d
ANSWER_SEALED[FAC_PROG_20]: Ea967c810da4d
ANSWER_SEALED[FAC_PROG_21]: E151af29436b1
ANSWER_SEALED[FAC_PROG_22]: E094a8b9c1a0a
ANSWER_SEALED[FAC_PROG_23]: Ecaff59394688
