MID_SEALED[FAC_SCAFFOLD_0]: E4c29e8375b31
ANSWER_SEALED[FAC_SCAFFOLD_0]: E2b5403f17592
MID_SEALED[FAC_SCAFFOLD_1]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_1]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_2]: E0d32f5b32169
ANSWER_SEALED[FAC_SCAFFOLD_2]: Ef03791f39915
MID_SEALED[FAC_SCAFFOLD_3]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_3]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_4]: E6824bb8e0e40
ANSWER_SEALED[FAC_SCAFFOLD_4]: E1305661e9a85
MID_SEALED[FAC_SCAFFOLD_5]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_5]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_6]: E7dc6c32bee13
ANSWER_SEALED[FAC_SCAFFOLD_6]: Ecc87b1df73ca
MID_SEALED[FAC_SCAFFOLD_7]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_7]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_8]: Ef251ee6e6491
ANSWER_SEALED[FAC_SCAFFOLD_8]: E6273e345f877
MID_SEALED[FAC_SCAFFOLD_9]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_9]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_10]: Eca01c414e561
ANSWER_SEALED[FAC_SCAFFOLD_10]: Ea967c810da4d
MID_SEALED[FAC_SCAFFOLD_11]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_11]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_12]: E5620db2c92e5
ANSWER_SEALED[FAC_SCAFFOLD_12]: E17212629d02b
MID_SEALED[FAC_SCAFFOLD_13]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_13]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_14]: E360ce02cda60
ANSWER_SEALED[FAC_SCAFFOLD_14]: E9a177466ee4f
MID_SEALED[FAC_SCAFFOLD_15]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_15]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_16]: Ec0a246abf245
ANSWER_SEALED[FAC_SCAFFOLD_16]: Ef800a0283365
MID_SEALED[FAC_SCAFFOLD_17]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_17]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_18]: E360ce02cda60
ANSWER_SEALED[FAC_SCAFFOLD_18]: E9a177466ee4f
MID_SEALED[FAC_SCAFFOLD_19]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_19]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_20]: Ea1f1b6d82504
ANSWER_SEALED[FAC_SCAFFOLD_20]: Ea967c810da4d
MID_SEALED[FAC_SCAFFOLD_21]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_21]: UNKNOWN
MID_SEALED[FAC_SCAFFOLD_22]: E9f2e90605040
ANSWER_SEALED[FAC_SCAFFOLD_22]: E094a8b9c1a0a
MID_SEALED[FAC_SCAFFOLD_23]: UNKNOWN
ANSWER_SEALED[FAC_SCAFFOLD_23]: UNKNOWN
