ANSWER_SEALED[FAC_STRUCT_0]: E2b5403f17592
ANSWER_SEALED[FAC_STRUCT_1]: Eef5d6ddfe291
ANSWER_SEALED[FAC_STRUCT_2]: Efe92f9f81026
ANSWER_SEALED[FAC_STRUCT_3]: Eaa44a66360d2
ANSWER_SEALED[FAC_STRUCT_4]: E1305661e9a85
ANSWER_SEALED[FAC_STRUCT_5]: Eaf3908de2123
ANSWER_SEALED[FAC_STRUCT_6]: Ecc87b1df73ca
ANSWER_SEALED[FAC_STRUCT_7]: E48f402067f3f
ANSWER_SEALED[FAC_STRUCT_8]: E6273e345f877
ANSWER_SEALED[FAC_STRUCT_9]: Eb59ebffbe838
ANSWER_SEALED[FAC_STRUCT_10]: Ea967c810da4d
ANSWER_SEALED[FAC_STRUCT_11]: E1305661e9a85
ANSWER_SEALED[FAC_STRUCT_12]: E17212629d02b
ANSWER_SEALED[FAC_STRUCT_13]: E1305661e9a85
ANSWER_SEALED[FAC_STRUCT_14]: E9a177466ee4f
ANSWER_SEALED[FAC_STRUCT_15]: E1afbb60e6258
ANSWER_SEALED[FAC_STRUCT_16]: Ef800a0283365
ANSWER_SEALED[FAC_STRUCT_17]: E1c015c42d94d
ANSWER_SEALED[FAC_STRUCT_18]: E9a177466ee4f
ANSWER_SEALED[FAC_STRUCT_19]: E4a4892c0ae2d
ANSWER_SEALED[FAC_STRUCT_20]: Ea967c810da4d
ANSWER_SEALED[FAC_STRUCT_21]: E151af29436b1
ANSWER_SEALED[FAC_STRUCT_22]: E094a8b9c1a0a
ANSWER_SEALED[FAC_STRUCT_23]: Ecaff59394688
