ANSWER_SEALED[SYNENR_CANON_0]: Eefd6c78ded84
ANSWER_SEALED[SYNENR_CANON_1]: E802c38d3e59d
ANSWER_SEALED[SYNENR_CANON_2]: Ef692561bb203
ANSWER_SEALED[SYNENR_CANON_3]: Ea627f2df46d0
ANSWER_SEALED[SYNENR_CANON_4]: Ed1935aad9a9a
ANSWER_SEALED[SYNENR_CANON_5]: E0745ecfbd8b5
ANSWER_SEALED[SYNENR_CANON_6]: E80842cce7b98
ANSWER_SEALED[SYNENR_CANON_7]: E7b230b4969d0
ANSWER_SEALED[SYNENR_CANON_8]: Eb0417cf4685b
ANSWER_SEALED[SYNENR_CANON_9]: E33a6a278d2bd
ANSWER_SEALED[SYNENR_CANON_10]: Eaa3b248d2e5a
ANSWER_SEALED[SYNENR_CANON_11]: E585b4a68a37b
