ANSWER_PLAIN[CF200_PLAINNL_50]: CF_TAIL_50_ConcordiaUni
ANSWER_PLAIN[CF200_PLAINNL_51]: CF_TAIL_51_KingsburyLon
ANSWER_PLAIN[CF200_PLAINNL_52]: CF_TAIL_52_Lucca
ANSWER_PLAIN[CF200_PLAINNL_53]: CF_TAIL_53_Swellendam
ANSWER_PLAIN[CF200_PLAINNL_54]: CF_TAIL_54_FrancisWilli
ANSWER_PLAIN[CF200_PLAINNL_55]: CF_TAIL_55_SanDiego
ANSWER_PLAIN[CF200_PLAINNL_56]: CF_TAIL_56_London
ANSWER_PLAIN[CF200_PLAINNL_57]: CF_TAIL_57_MongolEmpire
ANSWER_PLAIN[CF200_PLAINNL_58]: CF_TAIL_58_Kastellaun
ANSWER_PLAIN[CF200_PLAINNL_59]: CF_TAIL_59_AliaBhatt
ANSWER_PLAIN[CF200_PLAINNL_60]: CF_TAIL_60_AlenaMihulov
ANSWER_PLAIN[CF200_PLAINNL_61]: CF_TAIL_61_GreatPyramid
ANSWER_PLAIN[CF200_PLAINNL_62]: CF_TAIL_62_AlenaMihulov
ANSWER_PLAIN[CF200_PLAINNL_63]: CF_TAIL_63_Chattanooga
ANSWER_PLAIN[CF200_PLAINNL_64]: CF_TAIL_64_Ecuadorian
ANSWER_PLAIN[CF200_PLAINNL_65]: CF_TAIL_65_Australian
ANSWER_PLAIN[CF200_PLAINNL_66]: CF_TAIL_66_September291
ANSWER_PLAIN[CF200_PLAINNL_67]: CF_TAIL_67_Norwegian
ANSWER_PLAIN[CF200_PLAINNL_68]: CF_TAIL_68_AlpineTexas
ANSWER_PLAIN[CF200_PLAINNL_69]: CF_TAIL_69_Institutdtud
ANSWER_PLAIN[CF200_PLAINNL_70]: CF_TAIL_70_Fairfax
ANSWER_PLAIN[CF200_PLAINNL_71]: CF_TAIL_71_UnitedKingdo
ANSWER_PLAIN[CF200_PLAINNL_72]: CF_TAIL_72_Nepal
ANSWER_PLAIN[CF200_PLAINNL_73]: CF_TAIL_73_Weende
ANSWER_PLAIN[CF200_PLAINNL_74]: CF_TAIL_74_London
ANSWER_PLAIN[CF200_PLAINNL_75]: CF_TAIL_75_American
ANSWER_PLAIN[CF200_PLAINNL_76]: CF_TAIL_76_KhamagMongol
ANSWER_PLAIN[CF200_PLAINNL_77]: CF_TAIL_77_PiltonSomers
ANSWER_PLAIN[CF200_PLAINNL_78]: CF_TAIL_78_America
ANSWER_PLAIN[CF200_PLAINNL_79]: CF_TAIL_79_UnitedStates
ANSWER_PLAIN[CF200_PLAINNL_80]: CF_TAIL_80_Toulouse
ANSWER_PLAIN[CF200_PLAINNL_81]: CF_TAIL_81_FrankLiddell
ANSWER_PLAIN[CF200_PLAINNL_82]: CF_TAIL_82_HughGibb
ANSWER_PLAIN[CF200_PLAINNL_83]: CF_TAIL_83_NewYork
ANSWER_PLAIN[CF200_PLAINNL_84]: CF_TAIL_84_BattleofUhud
ANSWER_PLAIN[CF200_PLAINNL_85]: CF_TAIL_85_PolishLithua
ANSWER_PLAIN[CF200_PLAINNL_86]: CF_TAIL_86_Roman
ANSWER_PLAIN[CF200_PLAINNL_87]: CF_TAIL_87_KarinMolande
ANSWER_PLAIN[CF200_PLAINNL_88]: CF_TAIL_88_MearaStiller
ANSWER_PLAIN[CF200_PLAINNL_89]: CF_TAIL_89_date
ANSWER_PLAIN[CF200_PLAINNL_90]: CF_TAIL_90_NationalFilm
ANSWER_PLAIN[CF200_PLAINNL_91]: CF_TAIL_91_drivebyshoot
ANSWER_PLAIN[CF200_PLAINNL_92]: CF_TAIL_92_21February19
ANSWER_PLAIN[CF200_PLAINNL_93]: CF_TAIL_93_Antioch
ANSWER_PLAIN[CF200_PLAINNL_94]: CF_TAIL_94_Shanghai
ANSWER_PLAIN[CF200_PLAINNL_95]: CF_TAIL_95_Munich
ANSWER_PLAIN[CF200_PLAINNL_96]: CF_TAIL_96_Macei
ANSWER_PLAIN[CF200_PLAINNL_97]: CF_TAIL_97_Swedish
ANSWER_PLAIN[CF200_PLAINNL_98]: CF_TAIL_98_Akhetaten
ANSWER_PLAIN[CF200_PLAINNL_99]: CF_TAIL_99_Tehran
