ANSWER_PLAIN[CF200_PLAINNL_100]: CF_TAIL_100_Heidelberg
ANSWER_PLAIN[CF200_PLAINNL_101]: CF_TAIL_101_CalcuttaBota
ANSWER_PLAIN[CF200_PLAINNL_102]: CF_TAIL_102_Erode
ANSWER_PLAIN[CF200_PLAINNL_103]: CF_TAIL_103_RedBank
ANSWER_PLAIN[CF200_PLAINNL_104]: CF_TAIL_104_Dillenburg
ANSWER_PLAIN[CF200_PLAINNL_105]: CF_TAIL_105_8June1746
ANSWER_PLAIN[CF200_PLAINNL_106]: CF_TAIL_106_Tamil
ANSWER_PLAIN[CF200_PLAINNL_107]: CF_TAIL_107_Kandahar
ANSWER_PLAIN[CF200_PLAINNL_108]: CF_TAIL_108_CoronelPring
ANSWER_PLAIN[CF200_PLAINNL_109]: CF_TAIL_109_Bronx
ANSWER_PLAIN[CF200_PLAINNL_110]: CF_TAIL_110_MaureenOSull
ANSWER_PLAIN[CF200_PLAINNL_111]: CF_TAIL_111_America
ANSWER_PLAIN[CF200_PLAINNL_112]: CF_TAIL_112_NewYork
ANSWER_PLAIN[CF200_PLAINNL_113]: CF_TAIL_113_PrincesPalac
ANSWER_PLAIN[CF200_PLAINNL_114]: CF_TAIL_114_House
ANSWER_PLAIN[CF200_PLAINNL_115]: CF_TAIL_115_PolishLithua
ANSWER_PLAIN[CF200_PLAINNL_116]: CF_TAIL_116_Gujarati
ANSWER_PLAIN[CF200_PLAINNL_117]: CF_TAIL_117_TrippCountyS
ANSWER_PLAIN[CF200_PLAINNL_118]: CF_TAIL_118_23October137
ANSWER_PLAIN[CF200_PLAINNL_119]: CF_TAIL_119_stroke
ANSWER_PLAIN[CF200_PLAINNL_120]: CF_TAIL_120_GreaterCinci
ANSWER_PLAIN[CF200_PLAINNL_121]: CF_TAIL_121_BuenosAires
ANSWER_PLAIN[CF200_PLAINNL_122]: CF_TAIL_122_OklahomaCity
ANSWER_PLAIN[CF200_PLAINNL_123]: CF_TAIL_123_Pesaro
ANSWER_PLAIN[CF200_PLAINNL_124]: CF_TAIL_124_1767
ANSWER_PLAIN[CF200_PLAINNL_125]: CF_TAIL_125_British
ANSWER_PLAIN[CF200_PLAINNL_126]: CF_TAIL_126_American
ANSWER_PLAIN[CF200_PLAINNL_127]: CF_TAIL_127_UnitedStates
ANSWER_PLAIN[CF200_PLAINNL_128]: CF_TAIL_128_Brooklyn
ANSWER_PLAIN[CF200_PLAINNL_129]: CF_TAIL_129_OnaMunson
ANSWER_PLAIN[CF200_PLAINNL_130]: CF_TAIL_130_American
ANSWER_PLAIN[CF200_PLAINNL_131]: CF_TAIL_131_NewYork
ANSWER_PLAIN[CF200_PLAINNL_132]: CF_TAIL_132_UnitedKingdo
ANSWER_PLAIN[CF200_PLAINNL_133]: CF_TAIL_133_Norwegian
ANSWER_PLAIN[CF200_PLAINNL_134]: CF_TAIL_134_Mockfjrd
ANSWER_PLAIN[CF200_PLAINNL_135]: CF_TAIL_135_Amsterdam
ANSWER_PLAIN[CF200_PLAINNL_136]: CF_TAIL_136_Swiss
ANSWER_PLAIN[CF200_PLAINNL_137]: CF_TAIL_137_HamburgGerma
ANSWER_PLAIN[CF200_PLAINNL_138]: CF_TAIL_138_HamburgGerma
ANSWER_PLAIN[CF200_PLAINNL_139]: CF_TAIL_139_Moscow
ANSWER_PLAIN[CF200_PLAINNL_140]: CF_TAIL_140_Hollywood
ANSWER_PLAIN[CF200_PLAINNL_141]: CF_TAIL_141_Panam
ANSWER_PLAIN[CF200_PLAINNL_142]: CF_TAIL_142_Irish
ANSWER_PLAIN[CF200_PLAINNL_143]: CF_TAIL_143_Cahiersducin
ANSWER_PLAIN[CF200_PLAINNL_144]: CF_TAIL_144_Irish
ANSWER_PLAIN[CF200_PLAINNL_145]: CF_TAIL_145_Cahiersducin
ANSWER_PLAIN[CF200_PLAINNL_146]: CF_TAIL_146_Rome
ANSWER_PLAIN[CF200_PLAINNL_147]: CF_TAIL_147_Hamburg
ANSWER_PLAIN[CF200_PLAINNL_148]: CF_TAIL_148_GalvestonTex
ANSWER_PLAIN[CF200_PLAINNL_149]: CF_TAIL_149_YuenSiutien
