ANSWER_PLAIN[CF_PLAINNL_0]: CF_TAIL_0_MagorzataBra
ANSWER_PLAIN[CF_PLAINNL_1]: CF_TAIL_1_12June1516
ANSWER_PLAIN[CF_PLAINNL_2]: CF_TAIL_2_MyanmarMotio
ANSWER_PLAIN[CF_PLAINNL_3]: CF_TAIL_3_MissoulaMont
ANSWER_PLAIN[CF_PLAINNL_4]: CF_TAIL_4_Galai
ANSWER_PLAIN[CF_PLAINNL_5]: CF_TAIL_5_Brooklyn
ANSWER_PLAIN[CF_PLAINNL_6]: CF_TAIL_6_stroke
ANSWER_PLAIN[CF_PLAINNL_7]: CF_TAIL_7_Nice
ANSWER_PLAIN[CF_PLAINNL_8]: CF_TAIL_8_1983
ANSWER_PLAIN[CF_PLAINNL_9]: CF_TAIL_9_UnitedStates
ANSWER_PLAIN[CF_PLAINNL_10]: CF_TAIL_10_CatherineRob
ANSWER_PLAIN[CF_PLAINNL_11]: CF_TAIL_11_Hilandar
