MODEL UNDER TEST. Read ONLY this file. No decrypt. No world knowledge. Do not open other files.
Format: ANSWER_SEALED[<id>]: <seal_or_UNKNOWN>

ARM H4_DEMO_0: hop=4; 0 sealed demos; one quiz; no PATH.

No demos. No path. No relation names.
From START, output the sealed answer atom using only CONTEXT.
If more than one reading is possible, output UNKNOWN.

##### ID HI_H4_D0_0 #####
START Ee1bb9aae44d2
CONTEXT:
E869e2d2e24ed | E52299aa95aa6 | Eef049eb1ad3d
Ecc5c1b293734 | E26b490a0999f | Ea4a3cb98f1cf
Ee1bb9aae44d2 | E355cc76ceb7d | Ecc5c1b293734
Ecc5c1b293734 | E0c0b9d042598 | E624a352f92b4
E6b3be306cb9f | E9944be058f2a | E624a352f92b4
Ea4a3cb98f1cf | E95b606c358d7 | Ecc5c1b293734
Ee1bb9aae44d2 | E74ef7acf577e | E197bc1bfd6d7
E624a352f92b4 | E52de569044a5 | Eef049eb1ad3d
Eef049eb1ad3d | E9c84fc740017 | E43c9f8c844fe
Eef049eb1ad3d | E7ac5eb46fe93 | E869e2d2e24ed
E197bc1bfd6d7 | E9a3fd64e852b | Ee1bb9aae44d2
E624a352f92b4 | E0f6e5ce91996 | E6b3be306cb9f

