MODEL UNDER TEST. Read ONLY this file. No decrypt. No world knowledge.
Real FinQA + WikiTableQuestions tables in SHARED CONTEXT.
Research path: binders (PROG/DSL) vs sealed NL.
WTQ gold cell LOOKUP DSL binder (research path).

===== SHARED CONTEXT BEGIN (real tables) =====
### TABLE E58245d48c86c ###
Edb3a061cea13 | E1da84b778cb6 | 2018
Edb3a061cea13 | Ec5eda340c385 | 4.0
Ee5e0709ff5a9 | E1da84b778cb6 | 2019
Ee5e0709ff5a9 | Ec5eda340c385 | 4.0
Ec7cb33ad2b4a | E1da84b778cb6 | 2020
Ec7cb33ad2b4a | Ec5eda340c385 | 4.6
E81fdee7e053d | E1da84b778cb6 | 2021
E81fdee7e053d | Ec5eda340c385 | 4.5
Ee98b3f787d22 | E1da84b778cb6 | E997e06bed28a
Ee98b3f787d22 | Ec5eda340c385 | 44.6

### TABLE E5b84381117f5 ###
E5171c8f6953b | Ec2310cd9b76f | 2020
E5171c8f6953b | E90782fc71e33 | E58860b52715e
E123a21f7c4f9 | Ec2310cd9b76f | 2021
E123a21f7c4f9 | E90782fc71e33 | 67993
E05777f37db9c | Ec2310cd9b76f | 2022
E05777f37db9c | E90782fc71e33 | 40338
E05f5962eafcc | Ec2310cd9b76f | 2023
E05f5962eafcc | E90782fc71e33 | 37673
E08fea9752246 | Ec2310cd9b76f | 2024
E08fea9752246 | E90782fc71e33 | 32757
E9beede4d588a | Ec2310cd9b76f | Ede9d653dda96
E9beede4d588a | E90782fc71e33 | 190171
E83f4e7359d57 | Ec2310cd9b76f | Ef2bb65774bf1
E83f4e7359d57 | E90782fc71e33 | E7bcd22511fcc

### TABLE Ec57dc133f1e7 ###
E89fb9c38b53d | E11f7052e71e1 | Eb9b9f60c9aa4
E89fb9c38b53d | Efa83f65fcc9e | E424cf659ff43
E89fb9c38b53d | E4d3ba2248f72 | Ee95ae2b65ab5
E8cf210fa8c4b | E11f7052e71e1 | E6c53687ec3a6
E8cf210fa8c4b | Efa83f65fcc9e | 8602
E8cf210fa8c4b | E4d3ba2248f72 | 9838
E3fcb466f74d7 | E11f7052e71e1 | E2348c2932b24
E3fcb466f74d7 | Efa83f65fcc9e | 7983
E3fcb466f74d7 | E4d3ba2248f72 | 9404
E5703ca945a7d | E11f7052e71e1 | Ef2bb65774bf1
E5703ca945a7d | Efa83f65fcc9e | E89409b6f8695
E5703ca945a7d | E4d3ba2248f72 | E19309df24d62

### TABLE Ef71f0a172390 ###
E89fb332a9b53 | E11cb11528777 | Eacedb7e8cd3d
E89fb332a9b53 | E2c1a2a5fb006 | E7d26e9c7f9fe
E89fb332a9b53 | Eac096cc34fe0 | Ead2ab2bb12e3
E89fb332a9b53 | E66d9d82f593d | E3c837504f1e6
E2609512f12de | E11cb11528777 | Eb97342d8bb22
E2609512f12de | E2c1a2a5fb006 | 87846
E2609512f12de | Eac096cc34fe0 | 64431
E2609512f12de | E66d9d82f593d | 39541
E1afea4eefa26 | E11cb11528777 | E7139520b3f27
E1afea4eefa26 | E2c1a2a5fb006 | E1a3dbb2f9fed
E1afea4eefa26 | Eac096cc34fe0 | E93e97c72b939
E1afea4eefa26 | E66d9d82f593d | E753928a5eddb
Ed46d05d05011 | E11cb11528777 | E443324d638ec
Ed46d05d05011 | E2c1a2a5fb006 | Ea84bf6bb03a6
Ed46d05d05011 | Eac096cc34fe0 | Ed2133489db3e
Ed46d05d05011 | E66d9d82f593d | E5dc1a0c64a44

### TABLE E10e4b4960bee ###
Ebd60de6d1345 | E11f7052e71e1 | E8b3744550a6d
Ebd60de6d1345 | E7eb3f56226bd | Edbdff343fa33
Ebd60de6d1345 | E2c1a2a5fb006 | Ee207072482b4
E58c14e233fe1 | E11f7052e71e1 | Ee9a71cf6c29b
E58c14e233fe1 | E7eb3f56226bd | 24906
E58c14e233fe1 | E2c1a2a5fb006 | 33512
Eb8288db01dda | E11f7052e71e1 | E967b7e9bbfbe
Eb8288db01dda | E7eb3f56226bd | 4685
Eb8288db01dda | E2c1a2a5fb006 | 5063
Eeb8c6b1caccc | E11f7052e71e1 | Ebfb5b7ffe812
Eeb8c6b1caccc | E7eb3f56226bd | 4612
Eeb8c6b1caccc | E2c1a2a5fb006 | 4552

### TABLE E07930aefcdf1 ###
E5fd8694fdd76 | E11cb11528777 | Ea191baac534d
E5fd8694fdd76 | E1a1bcf78c961 | E6d39d5767407
E5fd8694fdd76 | E415001cf50ff | E6d39d5767407
Ef04d12a22943 | E11cb11528777 | Eef3f4c47ae0c
Ef04d12a22943 | E1a1bcf78c961 | 538
Ef04d12a22943 | E415001cf50ff | 538
E46bc39f9670e | E11cb11528777 | Efc283a337468
E46bc39f9670e | E1a1bcf78c961 | E62dd926188c1
E46bc39f9670e | E415001cf50ff | E62dd926188c1
E9391205ae2d4 | E11cb11528777 | Ee89eeae0b4ec
E9391205ae2d4 | E1a1bcf78c961 | 159
E9391205ae2d4 | E415001cf50ff | 159
E141f01559bc9 | E11cb11528777 | E2841c6a97147
E141f01559bc9 | E1a1bcf78c961 | 226
E141f01559bc9 | E415001cf50ff | 226
Ef67098155800 | E11cb11528777 | E25b4f8ea11a1
Ef67098155800 | E1a1bcf78c961 | E9d1ceb6c0c30
Ef67098155800 | E415001cf50ff | E9d1ceb6c0c30

### TABLE E41b18e2ae85f ###
E328cd5315279 | E986cb8ffb553 | 2017
E328cd5315279 | E564e909974fc | 60.3
