MODEL UNDER TEST. No tools. Answer EVERY ID. One answer line per ID.

Format: ANSWER_PLAIN[<id>]: <city_or_UNKNOWN>


##### ID L4_G0_A_plain #####
Answer from CONTEXT triples. One line: ANSWER_PLAIN: <city_or_UNKNOWN>

QUESTION: Where is the company located that Q0 works_at? City only.

CONTEXT:
Q0 | works_at | R0
R0 | located_in | U0
Dx0_0 | works_at | Dco0_0
Dco0_0 | located_in | Dci0_0
Dx0_1 | works_at | Dco0_1
Dco0_1 | located_in | Dci0_1
Dx0_2 | works_at | Dco0_2
Dco0_2 | located_in | Dci0_2
Dx0_3 | works_at | Dco0_3
Dco0_3 | located_in | Dci0_3
Dx0_4 | works_at | Dco0_4
Dco0_4 | located_in | Dci0_4
Dx0_5 | works_at | Dco0_5
Dco0_5 | located_in | Dci0_5
Dx0_6 | works_at | Dco0_6
Dco0_6 | located_in | Dci0_6
Dx0_7 | works_at | Dco0_7
Dco0_7 | located_in | Dci0_7
Dx0_8 | works_at | Dco0_8
Dco0_8 | located_in | Dci0_8
Dx0_9 | works_at | Dco0_9
Dco0_9 | located_in | Dci0_9
Dx0_10 | works_at | Dco0_10
Dco0_10 | located_in | Dci0_10
Dx0_11 | works_at | Dco0_11
Dco0_11 | located_in | Dci0_11
S0 | located_in | V0
T0 | located_in | W0
Z0 | works_at | S0


##### ID L4_G0_B_plain #####
Answer from CONTEXT triples. One line: ANSWER_PLAIN: <city_or_UNKNOWN>

QUESTION: Where is the company located that Q0 works_at? City only.

CONTEXT:
Q0 | works_at | S0
R0 | located_in | U0
Dx0_0 | works_at | Dco0_0
Dco0_0 | located_in | Dci0_0
Dx0_1 | works_at | Dco0_1
Dco0_1 | located_in | Dci0_1
Dx0_2 | works_at | Dco0_2
Dco0_2 | located_in | Dci0_2
Dx0_3 | works_at | Dco0_3
Dco0_3 | located_in | Dci0_3
Dx0_4 | works_at | Dco0_4
Dco0_4 | located_in | Dci0_4
Dx0_5 | works_at | Dco0_5
Dco0_5 | located_in | Dci0_5
Dx0_6 | works_at | Dco0_6
Dco0_6 | located_in | Dci0_6
Dx0_7 | works_at | Dco0_7
Dco0_7 | located_in | Dci0_7
Dx0_8 | works_at | Dco0_8
Dco0_8 | located_in | Dci0_8
Dx0_9 | works_at | Dco0_9
Dco0_9 | located_in | Dci0_9
Dx0_10 | works_at | Dco0_10
Dco0_10 | located_in | Dci0_10
Dx0_11 | works_at | Dco0_11
