MODEL UNDER TEST. No tools. No other files.

=== QUIZ ===
OPAQUE JOIN — no decryption. Same entity ⇒ same seal.

Handles: person=Ebaf258ab8bb5 works_at=E8830785bf19e located_in=E3e7182d58c91
Join person-works_at→co ; co-located_in→city. Ignore distractors.

QUESTION:
Ef5964750a45b Ec24ed12cdb4b E1c824e9554d3 Ead6d5258f698 Ef2e0bf3eea4c E462d804271a1 Ebaf258ab8bb5 E8830785bf19e? E178a6c39ea00 E3d323901debc.

CONTEXT:
Ebaf258ab8bb5 | E8830785bf19e | Ed93235910822
Ed93235910822 | E3e7182d58c91 | Ef753d7a369cd
Eaeb58cef0550 | E8830785bf19e | Efaa5c82bcb43
Efaa5c82bcb43 | E3e7182d58c91 | Eca56a4101045
E355b7c81a7e1 | E8830785bf19e | E12fb5bb020d6
E12fb5bb020d6 | E3e7182d58c91 | Ebf9c27baa8f6
E4f56b4b91c1a | E8830785bf19e | Ef68ed927fa79
Ef68ed927fa79 | E3e7182d58c91 | Ec44d0c71fa8b
E7881ae8900fa | E8830785bf19e | Eb51b74db92a5
Eb51b74db92a5 | E3e7182d58c91 | Eb194af58d71f
Ef71e7c4e95b6 | E8830785bf19e | Ee9577ab0ecad
Ee9577ab0ecad | E3e7182d58c91 | E49deaf27f457
Ec7b5a14c0d19 | E8830785bf19e | Ec663d5caba34
Ec663d5caba34 | E3e7182d58c91 | E330663bff42b
Ec1d15f27433c | E8830785bf19e | Eb6e5e11a452d
Eb6e5e11a452d | E3e7182d58c91 | E5c4df973b9c2
E804a29877651 | E8830785bf19e | Ee5d7226d63ff
Ee5d7226d63ff | E3e7182d58c91 | E888b8ae2aae8
Ef6a5c10bd8b2 | E8830785bf19e | E9da5edd376c2
E9da5edd376c2 | E3e7182d58c91 | Edae760706fc9
Ea7f59ba43d00 | E8830785bf19e | Ed12f7ab34577
Ed12f7ab34577 | E3e7182d58c91 | Ea1c9b0943573
E0b1dba71af47 | E8830785bf19e | Ec537353f44b3
Ec537353f44b3 | E3e7182d58c91 | Ed13b1b93745d
Eff710dbb6847 | E8830785bf19e | Ea01c8bed7c43
Ea01c8bed7c43 | E3e7182d58c91 | Ee0bb8c1cd28c
E6ac0a21898de | E3e7182d58c91 | E398ee77fb51c
Ed5bd73c26721 | E3e7182d58c91 | E4ee3eb37ddfa
E0ff70deea4cf | E8830785bf19e | E6ac0a21898de

Reply: ANSWER_SEALED: <seal> OR UNKNOWN
