MODEL UNDER TEST. No tools. No other files.

=== QUIZ ===
OPAQUE JOIN — no decryption. Same entity ⇒ same seal.

Handles: person=Ef74d5cb5aa45 works_at=E8830785bf19e located_in=E3e7182d58c91
Join person-works_at→co ; co-located_in→city. Ignore distractors.

QUESTION:
Ef5964750a45b Ec24ed12cdb4b E1c824e9554d3 Ead6d5258f698 Ef2e0bf3eea4c E462d804271a1 Ef74d5cb5aa45 E8830785bf19e? E178a6c39ea00 E3d323901debc.

CONTEXT:
Ef74d5cb5aa45 | E8830785bf19e | E5a1fb56c3ba1
Ef468b08bfaf4 | E3e7182d58c91 | E8e0c4285b83c
Ef5b8e4cef0a0 | E8830785bf19e | E6f1740204886
E6f1740204886 | E3e7182d58c91 | E6916ea7a8027
E12889b604425 | E8830785bf19e | Ef8c7bf9bad07
Ef8c7bf9bad07 | E3e7182d58c91 | E19ee7e6939b9
Ebbc59da325a8 | E8830785bf19e | Ed4d753b79510
Ed4d753b79510 | E3e7182d58c91 | Ebab74bf09e5e
E4a4461ac17d9 | E8830785bf19e | Ef7cb9b765259
Ef7cb9b765259 | E3e7182d58c91 | Eb2a11c43843c
E8e040ebdb36f | E8830785bf19e | Eb02d1cb2a9bd
Eb02d1cb2a9bd | E3e7182d58c91 | Ea24975f9659c
Ed071bf6a1aa5 | E8830785bf19e | E317989be722e
E317989be722e | E3e7182d58c91 | E30d36171a3ad
Ef7d40f6d47bf | E8830785bf19e | Ed8f6623fc5cb
Ed8f6623fc5cb | E3e7182d58c91 | Eb74ca545f0e0
Ed6464a236430 | E8830785bf19e | E20223d95190c
E20223d95190c | E3e7182d58c91 | Ee27e07250b90
Eb69636f1dd5f | E8830785bf19e | Ed0d65a8b89a1
Ed0d65a8b89a1 | E3e7182d58c91 | Eb7c19b08e7a9
E101c83e2a822 | E8830785bf19e | E801c29ba61f7
E801c29ba61f7 | E3e7182d58c91 | E19afe30a7ea1
Ebc8cc3e8f3b7 | E8830785bf19e | Efa1f16e08d5b
Efa1f16e08d5b | E3e7182d58c91 | Ef40040067e35
Ee95e873967c1 | E8830785bf19e | Ec0856d18cabe
Ec0856d18cabe | E3e7182d58c91 | Eb03d345d47ec
E5a1fb56c3ba1 | E3e7182d58c91 | E39a1042bf7dd
E1e328cb2ed61 | E3e7182d58c91 | E2668dccb2285
Ee54c3b10a487 | E8830785bf19e | E5a1fb56c3ba1

Reply: ANSWER_SEALED: <seal> OR UNKNOWN
