MODEL UNDER TEST. No tools. No other files.

=== QUIZ ===
OPAQUE JOIN — no decryption. Same entity ⇒ same seal.

Handles: person=Ea529d3c4b655 works_at=E8830785bf19e located_in=E3e7182d58c91
Join person-works_at→co ; co-located_in→city. Ignore distractors.

QUESTION:
Ef5964750a45b Ec24ed12cdb4b E1c824e9554d3 Ead6d5258f698 Ef2e0bf3eea4c E462d804271a1 Ea529d3c4b655 E8830785bf19e? E178a6c39ea00 E3d323901debc.

CONTEXT:
Ea529d3c4b655 | E8830785bf19e | E25c8ab12f71d
E25c8ab12f71d | E3e7182d58c91 | Ea8b9faa2b4ba
E4709708f3b53 | E8830785bf19e | Ea99e226b422e
Ea99e226b422e | E3e7182d58c91 | Eba3d1e6d00f9
E6908bd42a583 | E8830785bf19e | E7c2dfcef2a42
E7c2dfcef2a42 | E3e7182d58c91 | E7ca1fac8d51c
E25e9ea942b9b | E8830785bf19e | Ec4e0e39489f1
Ec4e0e39489f1 | E3e7182d58c91 | E241e01c66c0c
Eba6c50c6d177 | E8830785bf19e | E0ce641cf4d1e
E0ce641cf4d1e | E3e7182d58c91 | E5746cc2c68a3
E5fbfd75f7bf6 | E8830785bf19e | E42c3656ee308
E42c3656ee308 | E3e7182d58c91 | E23a7ad986df2
Ec8fd65e54f9c | E8830785bf19e | E00e46a62b355
E00e46a62b355 | E3e7182d58c91 | E568906937daf
E5622a87b62e8 | E8830785bf19e | E8b61f2f4b688
E8b61f2f4b688 | E3e7182d58c91 | E47a08c0d5c21
E14a6531b6a9a | E8830785bf19e | E23cb056863b8
E23cb056863b8 | E3e7182d58c91 | E7247f7758646
E25c8ddccef88 | E8830785bf19e | Ef843dcbf2665
Ef843dcbf2665 | E3e7182d58c91 | E3a68f794c24a
E24e7217cd6d8 | E8830785bf19e | Ea17493367048
Ea17493367048 | E3e7182d58c91 | Ee4e18212c48c
E9ea746f0556e | E8830785bf19e | E84e57be2ac2b
E84e57be2ac2b | E3e7182d58c91 | E35bb2ef41d20
E73239baa500d | E8830785bf19e | E7cdc15ab0dc1
E7cdc15ab0dc1 | E3e7182d58c91 | E30a610ad71b1
E0e5784798d09 | E3e7182d58c91 | E7b6e7cf8f64b
E3d6865edc684 | E3e7182d58c91 | E0c13152898ca
E716cd52dee3d | E8830785bf19e | E0e5784798d09

Reply: ANSWER_SEALED: <seal> OR UNKNOWN
