MODEL UNDER TEST. No tools. No other files.

=== QUIZ ===
Answer from CONTEXT triples. One line: ANSWER_PLAIN: <city_or_UNKNOWN>

QUESTION: Where is the company located that Q2 works_at? City only.

CONTEXT:
Q2 | works_at | R2
R2 | located_in | U2
Dx2_0 | works_at | Dco2_0
Dco2_0 | located_in | Dci2_0
Dx2_1 | works_at | Dco2_1
Dco2_1 | located_in | Dci2_1
Dx2_2 | works_at | Dco2_2
Dco2_2 | located_in | Dci2_2
Dx2_3 | works_at | Dco2_3
Dco2_3 | located_in | Dci2_3
Dx2_4 | works_at | Dco2_4
Dco2_4 | located_in | Dci2_4
Dx2_5 | works_at | Dco2_5
Dco2_5 | located_in | Dci2_5
Dx2_6 | works_at | Dco2_6
Dco2_6 | located_in | Dci2_6
Dx2_7 | works_at | Dco2_7
Dco2_7 | located_in | Dci2_7
Dx2_8 | works_at | Dco2_8
Dco2_8 | located_in | Dci2_8
Dx2_9 | works_at | Dco2_9
Dco2_9 | located_in | Dci2_9
Dx2_10 | works_at | Dco2_10
Dco2_10 | located_in | Dci2_10
Dx2_11 | works_at | Dco2_11
Dco2_11 | located_in | Dci2_11
S2 | located_in | V2
T2 | located_in | W2
Z2 | works_at | S2
