MODEL UNDER TEST. No tools. No other files.

=== QUIZ ===
OPAQUE JOIN — no decryption. Same entity ⇒ same seal.

Handles: person=E4695784d01a4 works_at=E8830785bf19e located_in=E3e7182d58c91
Join person-works_at→co ; co-located_in→city. Ignore distractors.

QUESTION:
Ef5964750a45b Ec24ed12cdb4b E1c824e9554d3 Ead6d5258f698 Ef2e0bf3eea4c E462d804271a1 E4695784d01a4 E8830785bf19e? E178a6c39ea00 E3d323901debc.

CONTEXT:
E4695784d01a4 | E8830785bf19e | E4698f1b900fa
Ee461941039b0 | E3e7182d58c91 | E6dea716ed0a8
E0d95572948d8 | E8830785bf19e | E73b0299ce80a
E73b0299ce80a | E3e7182d58c91 | Eab905456962c
E8113d36f2332 | E8830785bf19e | Ee6b3731061e7
Ee6b3731061e7 | E3e7182d58c91 | E450b84471fc6
Edc7632eb0c25 | E8830785bf19e | Eebf20e932044
Eebf20e932044 | E3e7182d58c91 | E5d06ae4ed5c5
E1c809f5879fd | E8830785bf19e | Ed6a28ecaba92
Ed6a28ecaba92 | E3e7182d58c91 | E4651582e63e2
E099590d19658 | E8830785bf19e | Eb0dfe5dbfe15
Eb0dfe5dbfe15 | E3e7182d58c91 | E1f5a6f8a38fc
E4ef4124a07d6 | E8830785bf19e | E8ed6e69b06dc
E8ed6e69b06dc | E3e7182d58c91 | E887e91534632
E7574ecac8e6c | E8830785bf19e | Eb1a9392cb34c
Eb1a9392cb34c | E3e7182d58c91 | E25405df4789b
E4460c7de5362 | E8830785bf19e | Ed8084ab483e3
Ed8084ab483e3 | E3e7182d58c91 | E02c4c3a3fa35
E9325923f26ac | E8830785bf19e | E61dbedbe5b32
E61dbedbe5b32 | E3e7182d58c91 | E508e427a254e
E2579313ae6bf | E8830785bf19e | Ec5bf984c7d6f
Ec5bf984c7d6f | E3e7182d58c91 | E076f8ee49d6a
E131e941df224 | E8830785bf19e | Ee33a32fd64e7
Ee33a32fd64e7 | E3e7182d58c91 | E6bf229735335
E6aa4999d88f9 | E8830785bf19e | E23665ff5927d
E23665ff5927d | E3e7182d58c91 | E464500a62a59
E4698f1b900fa | E3e7182d58c91 | E40d5447b255e
E1570d6ce1134 | E3e7182d58c91 | E5486731f3543
Ef376f2b1c29c | E8830785bf19e | E4698f1b900fa

Reply: ANSWER_SEALED: <seal> OR UNKNOWN
