MODEL UNDER TEST. No tools. No other files.

=== QUIZ ===
Answer from CONTEXT triples. One line: ANSWER_PLAIN: <city_or_UNKNOWN>

QUESTION: Where is the company located that Q3 works_at? City only.

CONTEXT:
Q3 | works_at | S3
R3 | located_in | U3
Dx3_0 | works_at | Dco3_0
Dco3_0 | located_in | Dci3_0
Dx3_1 | works_at | Dco3_1
Dco3_1 | located_in | Dci3_1
Dx3_2 | works_at | Dco3_2
Dco3_2 | located_in | Dci3_2
Dx3_3 | works_at | Dco3_3
Dco3_3 | located_in | Dci3_3
Dx3_4 | works_at | Dco3_4
Dco3_4 | located_in | Dci3_4
Dx3_5 | works_at | Dco3_5
Dco3_5 | located_in | Dci3_5
Dx3_6 | works_at | Dco3_6
Dco3_6 | located_in | Dci3_6
Dx3_7 | works_at | Dco3_7
Dco3_7 | located_in | Dci3_7
Dx3_8 | works_at | Dco3_8
Dco3_8 | located_in | Dci3_8
Dx3_9 | works_at | Dco3_9
Dco3_9 | located_in | Dci3_9
Dx3_10 | works_at | Dco3_10
Dco3_10 | located_in | Dci3_10
Dx3_11 | works_at | Dco3_11
Dco3_11 | located_in | Dci3_11
S3 | located_in | V3
T3 | located_in | W3
Z3 | works_at | S3
