MODEL UNDER TEST. Read ONLY this file. No decrypt. No world knowledge.

Format: ANSWER_SEALED[<id>]: <seal_or_UNKNOWN>

WTQ sealed cell-LOOKUP DSL (binder fix).


##### ID WTQFIX_DSL_0 #####
STRATUM: lookup_filter
SEALED_DSL
ROW E226c19ade2b7
COL E88cba6c08382
RETURN LOOKUP(ROW, COL)
Execute exact triple match in CONTEXT.

CONTEXT:
E226c19ade2b7 | E2c399fd0a8fb | E3f607612a0f9
E226c19ade2b7 | Eb50689488b52 | Ec8fe314e1f13
E226c19ade2b7 | E88cba6c08382 | Ed8abbeb36fd2
E226c19ade2b7 | E7e9d9a751047 | E948ac3032571
E226c19ade2b7 | Eb4d05bc378b6 | E714488fb0712
Eea66ea277fdb | E2c399fd0a8fb | E0e84f4b2ca50
Eea66ea277fdb | Eb50689488b52 | Eed0cd3fb5848
Eea66ea277fdb | E88cba6c08382 | E73fa534206c8
Eea66ea277fdb | E7e9d9a751047 | Ecdab685dcc71
Eea66ea277fdb | Eb4d05bc378b6 | Ecd6a2adf9cb6
Ea5f2b4c7bf27 | E2c399fd0a8fb | E0e84f4b2ca50
Ea5f2b4c7bf27 | Eb50689488b52 | E05e5a91e8b97
Ea5f2b4c7bf27 | E88cba6c08382 | Ea27d5a0e43fe
Ea5f2b4c7bf27 | E7e9d9a751047 | E948ac3032571
Ea5f2b4c7bf27 | Eb4d05bc378b6 | Ecd6a2adf9cb6
E9cb6031bd176 | E2c399fd0a8fb | E0e84f4b2ca50
E9cb6031bd176 | Eb50689488b52 | Efcdb0e9ed269
E9cb6031bd176 | E88cba6c08382 | Ed8abbeb36fd2
E9cb6031bd176 | E7e9d9a751047 | E948ac3032571
E9cb6031bd176 | Eb4d05bc378b6 | Ecd6a2adf9cb6
E7993d60f4638 | E2c399fd0a8fb | E0e84f4b2ca50
E7993d60f4638 | Eb50689488b52 | Ee62523cfe1c6
E7993d60f4638 | E88cba6c08382 | Ed8abbeb36fd2
E7993d60f4638 | E7e9d9a751047 | Ecdab685dcc71
E7993d60f4638 | Eb4d05bc378b6 | E0b8eac015e2c
E8fc6d3e5f2f9 | E2c399fd0a8fb | E0e84f4b2ca50
E8fc6d3e5f2f9 | Eb50689488b52 | E98920c0d52e4
E8fc6d3e5f2f9 | E88cba6c08382 | E0261ae3e3948
E8fc6d3e5f2f9 | E7e9d9a751047 | E948ac3032571
E8fc6d3e5f2f9 | Eb4d05bc378b6 | Ecd6a2adf9cb6
Eeba7c17e4430 | E2c399fd0a8fb | E40e63b60d324
Eeba7c17e4430 | Eb50689488b52 | E741f7838a070
Eeba7c17e4430 | E88cba6c08382 | E1c380572ec51
Eeba7c17e4430 | E7e9d9a751047 | Ecdab685dcc71
Eeba7c17e4430 | Eb4d05bc378b6 | E714488fb0712


##### ID WTQFIX_DSL_2 #####
STRATUM: lookup_filter
SEALED_DSL
ROW Ec885876e4ceb
COL Eac7e309effc4
RETURN LOOKUP(ROW, COL)
Execute exact triple match in CONTEXT.

CONTEXT:
E226c19ade2b7 | Ecaec061660e2 | Ee783701300cd
E226c19ade2b7 | E65e0750e8022 | Eb6f41e2d8b29
E226c19ade2b7 | Eac7e309effc4 | Ee4e8abf3b6b5
E226c19ade2b7 | E59f88e239a5e | Ebd011dd14273
E226c19ade2b7 | E41dfe6c3d0ec | E88af264b832e
E226c19ade2b7 | E42e4dfb288e6 | E81dbbbb950d8
E226c19ade2b7 | E7da33318c709 | Ee4e8abf3b6b5
E226c19ade2b7 | E76db675c84a4 | Ef4eb3c192119
Eea66ea277fdb | Ecaec061660e2 | Efe67d6085097
Eea66ea277fdb | E65e0750e8022 | E0714208f9e27
Eea66ea277fdb | Eac7e309effc4 | E8698847458e1
Eea66ea277fdb | E59f88e239a5e | Eed4a00ee2a3d
Eea66ea277fdb | E41dfe6c3d0ec | Ef015b6b37b42
Eea66ea277fdb | E42e4dfb288e6 | E8d2f556b5ead
Eea66ea277fdb | E7da33318c709 | E8698847458e1
Eea66ea277fdb | E76db675c84a4 | Ee6cb95fd599e
Ea5f2b4c7bf27 | Ecaec061660e2 | Ece05da6065ce
Ea5f2b4c7bf27 | E65e0750e8022 | E36c03d1459db
Ea5f2b4c7bf27 | Eac7e309effc4 | Ec6c3caeb3857
Ea5f2b4c7bf27 | E59f88e239a5e | E2b94e242394e
Ea5f2b4c7bf27 | E41dfe6c3d0ec | Ea9bef1292dff
Ea5f2b4c7bf27 | E42e4dfb288e6 | E07fa86a333f9
Ea5f2b4c7bf27 | E7da33318c709 | Ec6c3caeb3857
Ea5f2b4c7bf27 | E76db675c84a4 | E22d22afed19c
E9cb6031bd176 | Ecaec061660e2 | Ec2b5b5a6e2d1
E9cb6031bd176 | E65e0750e8022 | Eeb2458fdab9a
E9cb6031bd176 | Eac7e309effc4 | E8698847458e1
E9cb6031bd176 | E59f88e239a5e | Ec5eb0b945b04
E9cb6031bd176 | E41dfe6c3d0ec | E1f598aa5e588
E9cb6031bd176 | E42e4dfb288e6 | E3463f7e20902
E9cb6031bd176 | E7da33318c709 | E8698847458e1
E9cb6031bd176 | E76db675c84a4 | E2d24cd13633a
E7993d60f4638 | Ecaec061660e2 | E92f3f9c122db
E7993d60f4638 | E65e0750e8022 | E3e138a4d4035
E7993d60f4638 | Eac7e309effc4 | Ec6c3caeb3857
E7993d60f4638 | E59f88e239a5e | Ede8b31c036f0
E7993d60f4638 | E41dfe6c3d0ec | E91c983f09ab0
E7993d60f4638 | E42e4dfb288e6 | Eb348f6a2c7a8
E7993d60f4638 | E7da33318c709 | Ede8b31c036f0
E7993d60f4638 | E76db675c84a4 | Eb0fe3058a5aa
E8fc6d3e5f2f9 | Ecaec061660e2 | E148989cd3466
E8fc6d3e5f2f9 | E65e0750e8022 | Ee2861a4edac6
E8fc6d3e5f2f9 | Eac7e309effc4 | Ee4e8abf3b6b5
E8fc6d3e5f2f9 | E59f88e239a5e | Ebd401b952a27
E8fc6d3e5f2f9 | E41dfe6c3d0ec | Ea9bef1292dff
E8fc6d3e5f2f9 | E42e4dfb288e6 | Eefa6f0e65521
E8fc6d3e5f2f9 | E7da33318c709 | Ee4e8abf3b6b5
E8fc6d3e5f2f9 | E76db675c84a4 | Ecb21e1fe04d0
Eeba7c17e4430 | Ecaec061660e2 | Ed91603ddd479
Eeba7c17e4430 | E65e0750e8022 | E8537a7a8f76d
Eeba7c17e4430 | Eac7e309effc4 | E8698847458e1
Eeba7c17e4430 | E59f88e239a5e | E74f12c29c4f9
Eeba7c17e4430 | E41dfe6c3d0ec | Ebd801822e229
Eeba7c17e4430 | E42e4dfb288e6 | E08752366ad50
Eeba7c17e4430 | E7da33318c709 | E8698847458e1
Eeba7c17e4430 | E76db675c84a4 | E634f1f4c7c86
Efc54a8f3fd26 | Ecaec061660e2 | E62dbac004d20
Efc54a8f3fd26 | E65e0750e8022 | Eefcf285446c3
Efc54a8f3fd26 | Eac7e309effc4 | Ec6c3caeb3857
Efc54a8f3fd26 | E59f88e239a5e | Ebfc75b22ea4a
Efc54a8f3fd26 | E41dfe6c3d0ec | Ea9bef1292dff
Efc54a8f3fd26 | E42e4dfb288e6 | Eca6d9e6ce2fe
Efc54a8f3fd26 | E7da33318c709 | Ec6c3caeb3857
Efc54a8f3fd26 | E76db675c84a4 | E10ecae6f9739
Eb0e3a3dd20c1 | Ecaec061660e2 | Ea48dcf3f84aa
Eb0e3a3dd20c1 | E65e0750e8022 | E96538b72e1dd
Eb0e3a3dd20c1 | Eac7e309effc4 | Eaf91e31ebce2
Eb0e3a3dd20c1 | E59f88e239a5e | E348f31ac70f7
Eb0e3a3dd20c1 | E41dfe6c3d0ec | Ecd6aba50725d
Eb0e3a3dd20c1 | E42e4dfb288e6 | E9c56f59d7912
Eb0e3a3dd20c1 | E7da33318c709 | Eaf91e31ebce2
Eb0e3a3dd20c1 | E76db675c84a4 | E40d4d9b6a252
Eebc6e3a63453 | Ecaec061660e2 | E0aef916057cf
Eebc6e3a63453 | E65e0750e8022 | Eb1a9abbb4af7
Eebc6e3a63453 | Eac7e309effc4 | Edf8f4d0e9873
Eebc6e3a63453 | E59f88e239a5e | E714da59331ab
Eebc6e3a63453 | E41dfe6c3d0ec | E5267a3f4e322
Eebc6e3a63453 | E42e4dfb288e6 | E9eef104e7241
Eebc6e3a63453 | E7da33318c709 | Edf8f4d0e9873
Eebc6e3a63453 | E76db675c84a4 | E6312a061a30d
