MODEL UNDER TEST. Read ONLY this file. No decrypt. No world knowledge.

Format: ANSWER_SEALED[<id>]: <seal_or_UNKNOWN>

WTQ sealed NL control (rerun).


##### ID WTQFIX_NL_0 #####
STRATUM: lookup_filter
QUESTION:
E26d15ea60b3e E5d002e38173a E0aa5ed072b1a E754e103d9793 E4046cf3590b7 Ee5db362067d6 Eb8c5c48f88b2 E3f607612a0f9?

CONTEXT:
E226c19ade2b7 | E2c399fd0a8fb | E3f607612a0f9
E226c19ade2b7 | Eb50689488b52 | Ec8fe314e1f13
E226c19ade2b7 | E88cba6c08382 | Ed8abbeb36fd2
E226c19ade2b7 | E7e9d9a751047 | E948ac3032571
E226c19ade2b7 | Eb4d05bc378b6 | E714488fb0712
Eea66ea277fdb | E2c399fd0a8fb | E0e84f4b2ca50
Eea66ea277fdb | Eb50689488b52 | Eed0cd3fb5848
Eea66ea277fdb | E88cba6c08382 | E73fa534206c8
Eea66ea277fdb | E7e9d9a751047 | Ecdab685dcc71
Eea66ea277fdb | Eb4d05bc378b6 | Ecd6a2adf9cb6
Ea5f2b4c7bf27 | E2c399fd0a8fb | E0e84f4b2ca50
Ea5f2b4c7bf27 | Eb50689488b52 | E05e5a91e8b97
Ea5f2b4c7bf27 | E88cba6c08382 | Ea27d5a0e43fe
Ea5f2b4c7bf27 | E7e9d9a751047 | E948ac3032571
Ea5f2b4c7bf27 | Eb4d05bc378b6 | Ecd6a2adf9cb6
E9cb6031bd176 | E2c399fd0a8fb | E0e84f4b2ca50
E9cb6031bd176 | Eb50689488b52 | Efcdb0e9ed269
E9cb6031bd176 | E88cba6c08382 | Ed8abbeb36fd2
E9cb6031bd176 | E7e9d9a751047 | E948ac3032571
E9cb6031bd176 | Eb4d05bc378b6 | Ecd6a2adf9cb6
E7993d60f4638 | E2c399fd0a8fb | E0e84f4b2ca50
E7993d60f4638 | Eb50689488b52 | Ee62523cfe1c6
E7993d60f4638 | E88cba6c08382 | Ed8abbeb36fd2
E7993d60f4638 | E7e9d9a751047 | Ecdab685dcc71
E7993d60f4638 | Eb4d05bc378b6 | E0b8eac015e2c
E8fc6d3e5f2f9 | E2c399fd0a8fb | E0e84f4b2ca50
E8fc6d3e5f2f9 | Eb50689488b52 | E98920c0d52e4
E8fc6d3e5f2f9 | E88cba6c08382 | E0261ae3e3948
E8fc6d3e5f2f9 | E7e9d9a751047 | E948ac3032571
E8fc6d3e5f2f9 | Eb4d05bc378b6 | Ecd6a2adf9cb6
Eeba7c17e4430 | E2c399fd0a8fb | E40e63b60d324
Eeba7c17e4430 | Eb50689488b52 | E741f7838a070
Eeba7c17e4430 | E88cba6c08382 | E1c380572ec51
Eeba7c17e4430 | E7e9d9a751047 | Ecdab685dcc71
Eeba7c17e4430 | Eb4d05bc378b6 | E714488fb0712


##### ID WTQFIX_NL_1 #####
STRATUM: lookup_filter
QUESTION:
Ebad24a6d07ad Efa3552141047 E60e4bc9715bc E0aa5ed072b1a E59a1a6a112f2 E856d6a354a4d Ed693734704ab?

CONTEXT:
E226c19ade2b7 | Ea0f036522054 | Effef29e20fa6
E226c19ade2b7 | Ea7b723b2f06c | Ef5425120d263
E226c19ade2b7 | E24dabf992d32 | E49b624b5b072
E226c19ade2b7 | E6df3aa2a79d5 | E1b740e2a1a4d
Eea66ea277fdb | Ea0f036522054 | Ed03eb1170fcd
Eea66ea277fdb | Ea7b723b2f06c | Eb8643ba44368
Eea66ea277fdb | E24dabf992d32 | E473ff79986f1
Ea5f2b4c7bf27 | Ea0f036522054 | Ed6409a4ad454
Ea5f2b4c7bf27 | Ea7b723b2f06c | E6c2c3447af7e
E9cb6031bd176 | Ea0f036522054 | Ef067a357d397
E9cb6031bd176 | Ea7b723b2f06c | E3239a76ac42f
E9cb6031bd176 | E24dabf992d32 | E9055b6101c8c
E7993d60f4638 | Ea0f036522054 | E0b286164aaea
E7993d60f4638 | Ea7b723b2f06c | Eda8c5b1566c4
E8fc6d3e5f2f9 | Ea0f036522054 | E7e2709f22056
E8fc6d3e5f2f9 | Ea7b723b2f06c | Ef0a98672f1c8
E8fc6d3e5f2f9 | E24dabf992d32 | E8cac2870da27
Eeba7c17e4430 | Ea0f036522054 | E6fc6a666170c
Eeba7c17e4430 | Ea7b723b2f06c | Eeb9f61eb7325
Eeba7c17e4430 | E24dabf992d32 | Ed3a05b19fd9b
Efc54a8f3fd26 | Ea0f036522054 | E67d8854b0e44
Efc54a8f3fd26 | Ea7b723b2f06c | E58e0a4f23f50
Efc54a8f3fd26 | E24dabf992d32 | E4bbb45dc3b61
Eb0e3a3dd20c1 | Ea0f036522054 | Edc6d7e01e48c
Eb0e3a3dd20c1 | Ea7b723b2f06c | E1842e4101da9
Eb0e3a3dd20c1 | E24dabf992d32 | E5a17ebf830f3
Eb0e3a3dd20c1 | E6df3aa2a79d5 | E5b9839dcf6c7
Eebc6e3a63453 | Ea0f036522054 | Ee62484e0f4e5
Eebc6e3a63453 | Ea7b723b2f06c | E1842e4101da9
Eebc6e3a63453 | E24dabf992d32 | Ee82ffa5ccd2a
E6a9d9b0c44a2 | Ea0f036522054 | Ede7c4d1b58b8
E6a9d9b0c44a2 | Ea7b723b2f06c | E2f515d4dad08
E6a9d9b0c44a2 | E24dabf992d32 | Ef85e4653d92b
Ec885876e4ceb | Ea0f036522054 | E453f741e607e
Ec885876e4ceb | Ea7b723b2f06c | E50e7b779a24b
Ec885876e4ceb | E24dabf992d32 | E64ab87a5591d
E9c2b8d5a5dc2 | Ea0f036522054 | E159ac5dc11e8
E9c2b8d5a5dc2 | Ea7b723b2f06c | E9857d218857c
E9c2b8d5a5dc2 | E24dabf992d32 | E97a3d6c7071e
Ef199cee20847 | Ea0f036522054 | E7739f27f1e49
Ef199cee20847 | Ea7b723b2f06c | Ec00b1038d358
Ef199cee20847 | E24dabf992d32 | E48a926201210
Eacf58c1b0f79 | Ea0f036522054 | E562fd015ca10
Eacf58c1b0f79 | Ea7b723b2f06c | Ead9d1d9b9550
Eacf58c1b0f79 | E24dabf992d32 | E8c4070cf576e
Eaaba093e7040 | Ea0f036522054 | E6ba9a7bc0bbd
Eaaba093e7040 | Ea7b723b2f06c | E91a7b22f8cf8
Eaaba093e7040 | E24dabf992d32 | E2dc8ac282c64
Eccd7c31000f3 | Ea0f036522054 | E61460f86946f
Eccd7c31000f3 | Ea7b723b2f06c | Ec9cc1ccbfaf9
Eccd7c31000f3 | E24dabf992d32 | E68bd9cd07c80
Efac9233c5994 | Ea0f036522054 | Ed38ce87a521d
Efac9233c5994 | Ea7b723b2f06c | E04e8636fba63
Ee46a4a76d161 | Ea0f036522054 | E49a84d5324e9
Ee46a4a76d161 | Ea7b723b2f06c | E956a70bf956a
Ee46a4a76d161 | E24dabf992d32 | Ec44b3f57378c
Ee46a4a76d161 | E6df3aa2a79d5 | Eec72598eef7c
E68bdffc899ab | Ea0f036522054 | E131302704c3e
E68bdffc899ab | Ea7b723b2f06c | E05c1863efc6a


##### ID WTQFIX_NL_2 #####
STRATUM: lookup_filter
QUESTION:
E4ea483306103 Ef54ebb1ec37d E0aa5ed072b1a Eb2a388d51abd Eb09475036d8a E0aa5ed072b1a Ee1eb41885739 E1e33b00f13cb Ec1746e54d0d0 E3a969d0cbdd4 E114307ca6640 Eb8c5c48f88b2 E92f3f9c122db?

CONTEXT:
E226c19ade2b7 | Ecaec061660e2 | Ee783701300cd
E226c19ade2b7 | E65e0750e8022 | Eb6f41e2d8b29
E226c19ade2b7 | Eac7e309effc4 | Ee4e8abf3b6b5
E226c19ade2b7 | E59f88e239a5e | Ebd011dd14273
E226c19ade2b7 | E41dfe6c3d0ec | E88af264b832e
E226c19ade2b7 | E42e4dfb288e6 | E81dbbbb950d8
E226c19ade2b7 | E7da33318c709 | Ee4e8abf3b6b5
E226c19ade2b7 | E76db675c84a4 | Ef4eb3c192119
Eea66ea277fdb | Ecaec061660e2 | Efe67d6085097
Eea66ea277fdb | E65e0750e8022 | E0714208f9e27
Eea66ea277fdb | Eac7e309effc4 | E8698847458e1
Eea66ea277fdb | E59f88e239a5e | Eed4a00ee2a3d
Eea66ea277fdb | E41dfe6c3d0ec | Ef015b6b37b42
Eea66ea277fdb | E42e4dfb288e6 | E8d2f556b5ead
Eea66ea277fdb | E7da33318c709 | E8698847458e1
Eea66ea277fdb | E76db675c84a4 | Ee6cb95fd599e
Ea5f2b4c7bf27 | Ecaec061660e2 | Ece05da6065ce
